Id,SalePrice
1461,268579.0
1462,325480.0
1463,339085.0
1464,338479.0
1465,317890.0
1466,299813.0
1467,304900.0
1468,288434.0
1469,359203.0
1470,233121.0
1471,300314.0
1472,128376.0
1473,124797.0
1474,188907.0
1475,180194.0
1476,614611.0
1477,516152.0
1478,556633.0
1479,562934.0
1480,729364.0
1481,570212.0
1482,366650.0
1483,396000.0
1484,263487.0
1485,369581.0
1486,335869.0
1487,622819.0
1488,436182.0
1489,410782.0
1490,403671.0
1491,368546.0
1492,206563.0
1493,332930.0
1494,489303.0
1495,465684.0
1496,333175.0
1497,271424.0
1498,255428.0
1499,237717.0
1500,224683.0
1501,242487.0
1502,232948.0
1503,566110.0
1504,387826.0
1505,400810.0
1506,330858.0
1507,371437.0
1508,404311.0
1509,282062.0
1510,277356.0
1511,274731.0
1512,306212.0
1513,264184.0
1514,269298.0
1515,296883.0
1516,311890.0
1517,329997.0
1518,239151.0
1519,382997.0
1520,247170.0
1521,270244.0
1522,313255.0
1523,219611.0
1524,256070.0
1525,257152.0
1526,253828.0
1527,207590.0
1528,246486.0
1529,262174.0
1530,321640.0
1531,168973.0
1532,168354.0
1533,240416.0
1534,213892.0
1535,280503.0
1536,208957.0
1537,150505.0
1538,275195.0
1539,308882.0
1540,147257.0
1541,255478.0
1542,208422.0
1543,278263.0
1544,152092.0
1545,186991.0
1546,218762.0
1547,217996.0
1548,212494.0
1549,206207.0
1550,213409.0
1551,203231.0
1552,226707.0
1553,273179.0
1554,179080.0
1555,344964.0
1556,186216.0
1557,184161.0
1558,183635.0
1559,113486.0
1560,219527.0
1561,203515.0
1562,253710.0
1563,240004.0
1564,272979.0
1565,272618.0
1566,524663.0
1567,167640.0
1568,424339.0
1569,267481.0
1570,289455.0
1571,215934.0
1572,265978.0
1573,472114.0
1574,238809.0
1575,462237.0
1576,405707.0
1577,353838.0
1578,297831.0
1579,298168.0
1580,338172.0
1581,324472.0
1582,246454.0
1583,498993.0
1584,370368.0
1585,236992.0
1586,158557.0
1587,200657.0
1588,272692.0
1589,203382.0
1590,236361.0
1591,184869.0
1592,192947.0
1593,244752.0
1594,189733.0
1595,202817.0
1596,374090.0
1597,326124.0
1598,418585.0
1599,274800.0
1600,270192.0
1601,155431.0
1602,229086.0
1603,165195.0
1604,346611.0
1605,420530.0
1606,320648.0
1607,307335.0
1608,439622.0
1609,383911.0
1610,274655.0
1611,310062.0
1612,314908.0
1613,322634.0
1614,177769.0
1615,114817.0
1616,105108.0
1617,125860.0
1618,242848.0
1619,294115.0
1620,233086.0
1621,258281.0
1622,260062.0
1623,434821.0
1624,382401.0
1625,270475.0
1626,300455.0
1627,323254.0
1628,444807.0
1629,314313.0
1630,439796.0
1631,358146.0
1632,385089.0
1633,314350.0
1634,304518.0
1635,297202.0
1636,287474.0
1637,349997.0
1638,343406.0
1639,328927.0
1640,398841.0
1641,321476.0
1642,360263.0
1643,374237.0
1644,381029.0
1645,336280.0
1646,309517.0
1647,328098.0
1648,246801.0
1649,263666.0
1650,212544.0
1651,237870.0
1652,127935.0
1653,130484.0
